UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,H31262,H,297.7,307.2,1429,44.1,26,0,0,0,0,0,0
2,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0
3,H36692,H,300.0,310.1,1714,28.7,55,0,0,0,0,0,0
4,H39148,H,298.9,310.1,1458,44.3,156,0,0,0,0,0,0
5,H36303,H,300.9,311.4,1387,42.7,121,0,0,0,0,0,0
6,H33013,H,301.7,310.5,1388,50.5,176,0,0,0,0,0,0
7,H29949,H,297.4,309.3,1365,52.4,76,0,0,0,0,0,0
8,H35426,H,300.8,310.9,1425,44.0,33,0,0,0,0,0,0
9,H33761,H,301.9,309.8,1724,27.5,126,0,0,0,0,0,0
10,H34386,H,303.8,312.6,1811,24.9,183,0,0,0,0,0,0
11,H36250,H,301.1,311.0,1339,52.8,194,0,0,0,0,0,0
12,H34252,H,303.3,311.8,1649,29.4,49,0,0,0,0,0,0
13,H31595,H,299.5,309.1,1548,44.3,40,0,0,0,0,0,0
14,H37078,H,300.5,311.7,1454,50.3,175,0,0,0,0,0,0
15,H31859,H,299.2,308.7,1375,55.1,78,0,0,0,0,0,0
16,H32647,H,300.8,309.4,1474,40.7,104,0,0,0,0,0,0
17,H31072,H,298.1,308.0,1570,35.3,159,0,0,0,0,0,0
18,H32359,H,300.7,309.6,1925,20.5,9,0,0,0,0,0,0
19,H31176,H,298.2,307.6,1460,48.6,204,0,0,0,0,0,0
20,H30492,H,296.9,307.7,1656,30.8,181,0,0,0,0,0,0
21,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
22,H32045,H,300.0,309.7,1529,42.4,107,0,0,0,0,0,0
23,H33499,H,302.0,310.5,1841,23.6,119,0,0,0,0,0,0
24,H38486,H,297.2,308.1,1770,27.2,140,0,0,0,0,0,0
25,H30005,H,297.5,309.3,1525,41.7,235,0,0,0,0,0,0
26,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0
27,H38354,H,297.3,308.3,1935,19.3,24,0,0,0,0,0,0
28,H32689,H,301.3,310.0,1532,36.3,2,0,0,0,0,0,0
29,H35177,H,301.8,311.2,1451,39.4,70,0,0,0,0,0,0
30,H35270,H,301.2,310.9,1598,35.9,71,0,0,0,0,0,0
31,H31642,H,299.4,308.6,1542,41.8,166,0,0,0,0,0,0
32,H36468,H,300.7,310.5,1476,43.1,134,0,0,0,0,0,0
33,H29884,H,297.3,308.8,1499,44.2,134,0,0,0,0,0,0
34,H33415,H,302.1,311.2,1598,37.9,148,0,0,0,0,0,0
35,H36960,H,300.2,311.5,1454,42.8,88,0,0,0,0,0,0
36,H31314,H,297.9,307.6,1493,36.0,161,0,0,0,0,0,0
37,H31734,H,299.2,308.8,1440,39.1,188,0,0,0,0,0,0
38,H38911,H,299.1,309.9,1443,40.3,0,0,0,0,0,0,0
39,H32038,H,299.7,309.5,1375,46.8,86,0,0,0,0,0,0
40,H34719,H,303.9,313.2,1680,29.1,201,0,0,0,0,0,0
41,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0
42,H30038,H,298.3,310.1,1509,37.6,85,0,0,0,0,0,0
43,H31036,H,297.7,307.6,1538,38.3,63,0,0,0,0,0,0
